Player,Position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Alexei Ponikarovsky",LW,10,0.16,28,0,652,10,8,4,1,4,12,1,0.2,5,4,1,5,0,0,61,27,1,139,0,0,17,0,36,0,15,0.25,36,1,56,0,2,0,0,1,3,0,,18.2,0,0,0,0,0,0,1113,0.053,94,0,12,768,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anders Lindback",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1131,0,0,0,0,0,18,11,5,2,576,49,2.6,527,0.915,2
"Andre Benoit",D,1,0.12,12,0,119,14,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,5,0,0,3,0,4,0,1,0.12,6,-1,14,1,1,0,0,0,1,0,,21.9,0,0,0,0,0,0,175,0,17,0,3,134,16,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andreas Engqvist",C,0,0,3,0,22,7,0,12,7,0,0,0,0.368,19,12,7,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,11.3,0,1,0,0,0,0,34,0,1,0,1,26,8,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andreas Lilja",D,6,0.12,113,0,722,13,6,0,0,1,7,1,0,0,0,0,1,0,0,52,20,0,92,0,0,14,0,13,0,7,0.13,28,-15,1,0,0,0,0,0,0,0,,22.7,0,3,0,0,0,0,1180,0.032,31,0,6,906,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andreas Nodl",RW,11,0.16,25,1,833,12,11,8,11,9,20,1,0.579,19,8,11,11,0,0,67,29,2,111,0,0,8,0,26,0,22,0.33,16,14,17,0,0,0,0,1,1,0,,18.3,0,0,0,0,0,1,1227,0.11,100,1,21,889,13,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andreas Thuresson",RW,0,0,0,0,30,10,0,2,0,0,0,0,0,2,2,0,0,0,0,3,2,0,8,0,0,1,0,2,0,0,0,2,-1,0,0,0,0,0,0,0,0,,13.7,0,0,0,0,0,0,41,0,2,0,3,30,10,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrei Kostitsyn",LW,25,0.31,26,2,1101,13,19,2,0,15,34,3,0,2,2,0,20,0,0,81,38,6,140,0,0,18,0,78,1,45,0.56,36,3,184,2,6,0,0,5,11,0,,20.3,0,0,0,0,0,0,1645,0.102,196,0,23,1286,15,47,0,0,3,0,0,0,0,0,0,0,0,0,0
"Andrei Loktionov",C,3,0.16,8,0,231,12,2,27,19,4,6,0,0.418,55,32,23,4,0,0,19,9,2,6,0,0,1,0,16,0,7,0.37,2,2,48,2,1,5,4,0,1,0,,18.4,0,0,0,0,0,0,350,0.154,26,0,10,280,14,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrei Markov",D,2,0.29,5,0,121,17,1,0,0,1,2,1,0,0,0,0,1,0,0,7,9,1,2,0,0,2,0,9,0,3,0.43,4,2,25,3,1,0,0,0,1,0,,28.3,0,2,0,0,0,0,198,0.05,20,0,3,160,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrej Meszaros",D,24,0.3,139,0,1347,16,21,0,0,5,26,2,0,0,0,0,8,0,0,81,40,2,189,0,0,21,0,60,2,32,0.4,42,30,197,2,3,0,0,3,6,0,,27.9,0,2,0,0,0,0,2260,0.056,144,0,34,1710,21,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrej Sekera",D,26,0.34,85,0,1306,17,20,0,0,3,23,1,0,0,0,0,3,0,0,76,51,0,61,0,0,12,1,48,0,29,0.38,34,11,158,2,6,0,0,0,6,0,,27.1,0,1,0,0,0,0,2059,0.034,88,0,38,1603,21,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Alberts",D,6,0.14,49,0,566,13,6,0,0,1,7,1,0,0,0,0,1,0,0,42,19,0,113,1,0,17,0,7,0,7,0.17,41,0,4,0,0,0,0,0,0,0,,20.7,0,1,0,0,0,0,870,0.048,21,0,7,636,15,44,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Brunette",LW,28,0.34,31,1,1121,13,18,9,6,10,28,4,0.389,18,11,7,18,0,0,82,29,3,27,0,0,8,0,24,0,46,0.56,16,-7,255,3,10,2,1,8,18,0,,21.4,0,0,0,0,0,0,1755,0.154,117,0,18,1377,16,47,0,0,1,0,0,0,0,0,0,0,0,0,0
"Andrew Cogliano",C,24,0.29,46,1,1116,13,17,484,347,10,27,2,0.416,1108,647,461,11,0,1,82,46,3,89,2,0,17,1,44,0,35,0.43,64,-12,75,0,5,36,24,0,5,0,,24.2,0,2,2,127,90,1,1985,0.085,129,3,32,1415,17,43,0,0,2,0,0,0,0,0,0,0,0,0,0
"Andrew Desjardins",C,2,0.12,5,0,116,6,2,24,29,1,3,0,0.554,56,25,31,1,0,0,17,1,0,34,0,0,2,0,3,0,3,0.18,4,-1,0,0,0,0,0,0,0,0,,10.9,0,0,0,1,2,0,185,0.083,12,0,6,121,7,39,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Ebbett",C,3,0.09,12,0,298,9,3,114,97,1,4,1,0.454,229,125,104,2,0,0,33,5,1,13,0,0,2,0,9,0,5,0.15,4,-1,0,0,0,0,0,0,0,0,,13.9,0,0,0,11,7,1,460,0.087,23,1,8,330,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Ference",D,12,0.17,82,0,1105,15,10,0,0,3,13,1,0,0,0,0,3,0,1,70,28,0,74,4,0,10,1,34,0,15,0.21,60,22,24,0,1,0,0,0,1,0,,23,0,1,1,0,0,0,1613,0.038,78,1,4,1258,17,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Gordon",RW,1,0.11,4,0,71,7,1,0,0,1,2,1,0,0,0,0,1,0,0,9,2,0,5,0,0,0,0,7,0,2,0.22,0,-2,6,0,0,0,0,0,0,0,,10.8,0,0,0,0,0,0,97,0.2,5,0,0,78,8,48,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Hutchinson",D,1,0.2,8,0,64,12,1,0,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,2,0,4,0,1,0.2,6,-3,11,2,0,0,0,0,0,0,,18.4,0,0,0,0,0,0,92,0,2,0,0,76,15,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Ladd",LW,30,0.37,45,2,1226,15,20,17,10,18,38,5,0.341,44,29,15,29,0,0,81,44,2,68,1,0,15,0,64,1,59,0.73,39,-10,246,3,9,3,1,9,18,0,,26.1,0,1,1,9,4,2,2115,0.149,195,3,61,1625,20,46,2,1,5,0,0,0,0,0,0,0,0,0,0
"Andrew MacDonald",D,23,0.38,160,0,1078,17,12,0,0,3,15,0,0,0,0,0,4,0,0,60,35,1,38,1,0,11,1,43,0,27,0.45,37,9,183,3,11,0,0,1,12,0,,27,0,2,0,0,0,0,1620,0.056,72,0,49,1404,23,52,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Murray",C,4,0.14,14,1,290,10,3,20,19,4,7,1,0.463,41,22,19,4,0,0,29,1,1,77,0,0,2,0,11,0,8,0.28,4,2,1,0,0,1,0,0,0,0,,17.1,0,1,1,1,0,0,497,0.083,48,1,10,330,11,40,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andrew Raycroft",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,847,0,0,0,0,0,14,8,5,0,446,40,2.83,406,0.91,2
"Andrey Zubarev",D,1,0.25,8,0,72,18,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,15,0,0,2,0,0,0,1,0.25,4,-4,0,0,0,0,0,0,0,0,,24.3,0,1,0,0,0,0,97,0,2,0,2,80,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andy Greene",D,19,0.23,157,1,1538,18,14,0,0,3,17,0,0,0,0,0,4,0,0,82,34,1,49,0,0,10,0,41,0,23,0.28,22,-23,105,1,5,0,0,1,6,0,,28.5,0,2,0,0,0,0,2334,0.044,91,0,34,1833,22,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andy McDonald",C,30,0.52,27,1,914,15,18,103,153,14,32,4,0.593,349,142,207,20,0,0,58,15,3,40,0,0,13,0,63,0,50,0.86,26,18,194,3,12,29,44,5,17,0,,26.3,0,0,0,10,10,1,1524,0.111,180,1,23,1162,20,46,3,1,5,0,0,0,0,0,0,0,0,0,0
"Andy Sutton",D,4,0.1,87,0,478,12,1,0,0,0,1,0,0,0,0,0,0,0,0,39,14,0,62,3,0,25,2,12,0,4,0.1,87,1,3,0,1,0,0,0,1,0,,18.8,0,2,2,0,0,0,732,0,31,2,5,575,14,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anssi Salmela",D,6,0.12,36,0,808,16,6,0,0,1,7,0,0,0,0,0,1,0,0,48,16,1,48,0,0,7,0,20,1,7,0.15,14,-11,15,0,0,0,0,0,0,0,,23,0,0,0,0,0,0,1106,0.018,57,0,14,835,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0
"Antero Niittymaki",G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,0,0,0,0,0,22,12,7,3,615,64,2.72,551,0.896,0
"Anthony Stewart",RW,25,0.31,35,0,1056,13,20,9,5,9,29,2,0.389,18,11,7,14,0,1,80,28,2,98,1,0,14,1,50,1,39,0.49,55,-10,103,1,5,1,1,5,10,0,,20.6,0,0,0,1,1,0,1647,0.099,141,0,34,1197,14,44,0,0,0,0,0,0,0,0,0,0,0,0,0
