player,position,a,a_g,bks,eng,es_toi,es_toi_g,esa,esfol,esfow,esg,esp,first_g,fo_perc,fo_total,fol,fow,g,g_g,g_misc,gp,gva,gwg,hits,major,match_pen,minor,misc,mss,otg,p,p_g,pim,plus_minus,pp_toi,pp_toi_g,ppa,ppfol,ppfow,ppg,ppp,ps,s_g,sft_g,sh_toi,sh_toi_g,sha,shfol,shfow,shg,shifts,shot_perc,shots,shp,tka,toi,toi_g,toi_s,total_so_g,total_so_gdg,total_so_s,gs,w,l,ot,sa,ga,gaa,sv,sv_perc,so
"Brian McGrattan",RW,0,0,6,0,139,6.619,0,0,0,3,3,0,0,1,1,0,3,0.143,0,21,2,1,32,3,0,2,3,5,0,3,0.143,49,-4,0,0,0,0,0,0,0,0,0.857,10.524,0,0,0,0,0,0,221,0.167,18,0,3,149.16,7.08,0.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brian Strait",D,4,0.211,21,0,286,15.053,4,0,0,0,4,0,0,0,0,0,0,0,0,19,6,0,33,0,0,5,0,8,0,4,0.211,10,4,0,0,0,0,0,0,0,0,0.684,22.737,22,1.158,0,0,0,0,432,0,13,0,2,325.92,17.139,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks Laich",C,3,0.333,6,0,117,13,2,0,0,1,3,0,0.506,81,40,41,1,0.111,0,9,5,0,14,0,0,3,0,5,0,4,0.444,6,2,4,0.444,1,0,0,0,1,0,1.111,22.333,15,1.667,0,0,0,0,201,0.1,10,0,2,148.82,16.427,0.74,0,0,0,0,0,0,0,0,0,0,0,0,0
"Brooks Orpik",D,8,0.174,114,0,847,18.413,8,0,0,0,8,0,0,0,0,0,0,0,0,46,19,0,119,0,0,16,0,12,0,8,0.174,32,17,1,0.022,0,0,0,0,0,0,0.696,25.348,122,2.652,0,0,0,0,1166,0,32,0,5,1025.32,22.274,0.88,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bruno Gervais",D,5,0.135,41,0,570,15.405,5,0,0,1,6,0,0,0,0,0,1,0.027,0,37,22,0,25,0,0,5,0,21,0,6,0.162,10,-17,5,0.135,0,0,0,0,0,0,1.324,23.324,18,0.486,0,0,0,0,863,0.02,49,0,7,633.7,17.126,0.73,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryan Allen",D,6,0.146,66,0,670,16.341,6,0,0,0,6,0,0,0,0,0,0,0,0,41,22,0,63,2,0,12,0,29,0,6,0.146,34,1,0,0,0,0,0,0,0,0,0.61,23.122,55,1.341,0,0,0,0,948,0,25,0,4,768.27,18.73,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryan Bickell",LW,14,0.292,13,0,578,12.042,14,0,0,9,23,0,0.333,6,4,2,9,0.188,0,48,11,2,108,1,0,5,1,25,0,23,0.479,25,12,6,0.125,0,0,0,0,0,0,1.708,16.854,0,0,0,0,0,0,809,0.11,82,0,23,614.65,12.805,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryan Little",RW,25,0.521,19,0,729,15.188,21,0,0,5,26,0,0.512,842,411,431,7,0.146,0,48,11,2,32,0,0,2,0,24,0,32,0.667,4,9,99,2.063,3,0,0,2,5,0,1.75,24.542,54,1.125,1,0,0,0,1178,0.083,84,1,29,950.57,19.788,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0
"Bryce Salvador",D,2,0.051,79,0,671,17.205,2,0,0,0,2,0,0,0,0,0,0,0,0,39,22,0,36,0,0,11,0,13,0,2,0.051,22,-12,1,0.026,0,0,0,0,0,0,0.744,26.615,115,2.949,0,0,0,0,1038,0,29,0,11,831.83,21.323,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cal Clutterbuck",RW,6,0.143,17,0,485,11.548,5,0,0,4,9,0,0.5,2,1,1,4,0.095,0,42,10,1,155,1,0,11,0,27,0,10,0.238,27,-5,0,0,0,0,0,0,0,0,2.071,21.095,52,1.238,1,0,0,0,886,0.046,87,1,13,576.85,13.725,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0
